route,file,instruction_source,instruction_anchor_found,copy_match_status,notes
/,app/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/about,app/about/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/book-demo,app/book-demo/page.tsx,site_full_audit,false,NO_SOURCE_IN_DOC,"No matching section anchor found in instruction doc via heuristics; may still exist under different naming."
/contact,app/contact/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/energy/contact,app/energy/contact/page.tsx,decarb_full_audit,true,MATCH,"Matches PJ Energy Contact page (hero, two contact cards, why choose 3 cards). Hero now uses image background."
/energy/energy-club,app/energy/energy-club/page.tsx,decarb_full_audit,true,MATCH,"Matches PJ Unifi.id Club Energy page (hero line, differentiators, focus/next phase, register CTA). Hero now uses image background."
/energy/funding-options,app/energy/funding-options/page.tsx,decarb_full_audit,true,MATCH,"Matches PJ Funding Options page structure and copy (hero lines, feature cards, funding models, economics, CTA). Hero now uses image background (not specified in PJ but copy matches)."
/energy/hub,app/energy/hub/page.tsx,decarb_full_audit,true,MATCH,"Corporate (Office/Retail/Mixed-Use/Hospitality/Industrial) and Public (Local/NHS/Government/Emergency) now include PJ-style benefits + challenge grids + closing statements. Hero uses image background (copy matches PJ)."
/energy/monitoring,app/energy/monitoring/page.tsx,decarb_full_audit,true,MATCH,"Matches PJ placeholder Monitoring page (heading + coming soon copy + CTA intent). Hero now uses image background."
/energy/technology,app/energy/technology/page.tsx,decarb_full_audit,true,MATCH,"Matches PJ Decarbonisation Technology structure (hero intro + Core Upgrade Technologies + 3 tabs) and Solar intro paragraphs now verbatim. Hero uses image background."
/energy/the-energy-trap,app/energy/the-energy-trap/page.tsx,decarb_full_audit,true,MATCH,"Matches PJ placeholder The Energy Trap page (heading + coming soon copy + CTA intent). Hero now uses image background."
/legal-support,app/legal-support/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/modern-slavery,app/modern-slavery/page.tsx,site_full_audit,false,NO_SOURCE_IN_DOC,"No matching section anchor found in instruction doc via heuristics; may still exist under different naming."
/news,app/news/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/news/3,app/news/3/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/news/4,app/news/4/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/news/beyond-capacity,app/news/beyond-capacity/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/news/data-driven-partnerships,app/news/data-driven-partnerships/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/news/data-driven-security,app/news/data-driven-security/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/news/decarbonisation-funding-post,app/news/decarbonisation-funding-post/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/news/fireguard-new-era,app/news/fireguard-new-era/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/news/fireguard-post,app/news/fireguard-post/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/news/future-of-smart-buildings,app/news/future-of-smart-buildings/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/news/live-view-post,app/news/live-view-post/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/news/transforming-fire-safety,app/news/transforming-fire-safety/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/partners,app/partners/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/platform/overview,app/platform/overview/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/pricing,app/pricing/page.tsx,site_full_audit,false,NO_SOURCE_IN_DOC,"No matching section anchor found in instruction doc via heuristics; may still exist under different naming."
/privacy,app/privacy/page.tsx,site_full_audit,false,NO_SOURCE_IN_DOC,"No matching section anchor found in instruction doc via heuristics; may still exist under different naming."
/resources,app/resources/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/roles,app/roles/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/roles/ceo,app/roles/ceo/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/roles/cfo,app/roles/cfo/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/roles/coo,app/roles/coo/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/roles/esg-lead,app/roles/esg-lead/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/roles/facilities,app/roles/facilities/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/roles/fire-safety-lead,app/roles/fire-safety-lead/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/roles/security-head,app/roles/security-head/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/sectors,app/sectors/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/sectors/[slug],app/sectors/[slug]/page.tsx,site_full_audit,false,NO_SOURCE_IN_DOC,"No matching section anchor found in instruction doc via heuristics; may still exist under different naming."
/sectors/hub,app/sectors/hub/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/solutions/fireguard,app/solutions/fireguard/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/solutions/hub,app/solutions/hub/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/solutions/insurelink,app/solutions/insurelink/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
